date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:52	1319177/1319177	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/images/background--whiteboard-wireframes.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/images/background--whiteboard-wireframes.jpg	(from http://devbootcamp.com/assets/css/app.css?v002)
11:56:02	328580/328580	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/01-home-hero-slide2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/01-home-hero-slide2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:56:08	177708/177708	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/washingtondc-location-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/washingtondc-location-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:56:08	1059217/1059217	URF---	200	added ('OK%20(cached)')	image/jpeg		http://devbootcamp.com/assets/images/background--steve-pitches.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/images/background--steve-pitches.jpg	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:56:26	365200/365200	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/sf-location-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/sf-location-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:56:27	219400/219400	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/seattle-location-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/seattle-location-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:56:33	150371/150371	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/chi-location-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/chi-location-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:56:37	217522/217522	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/austin-location-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/austin-location-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:56:53	158165/158165	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/nyc-location-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/nyc-location-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:57:07	179334/179334	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/sd-location-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/sd-location-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:57:10	279036/279036	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/chi-location-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/chi-location-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:57:22	304549/304549	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/nyc-location-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/nyc-location-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:57:36	180947/180947	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/events-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/events-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:57:52	185607/185607	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/press-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/press-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:57:56	389089/389089	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/sd-location-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/sd-location-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:58:03	331157/331157	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/events-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/events-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:58:25	202531/202531	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/diversity-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/diversity-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:58:27	143872/143872	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/tuition-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/tuition-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:58:34	360283/360283	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/press-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/press-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:58:57	184137/184137	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/careers-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/careers-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:00	399703/399703	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/diversity-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/diversity-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:08	265773/265773	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/tuition-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/tuition-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:22	295881/295881	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/careers-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/careers-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:26	181227/181227	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/apply-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/apply-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:31	143048/143048	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/schedule-hero.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/schedule-hero.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:49	141378/141378	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/05-home-hero-slide.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/05-home-hero-slide.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:58	358163/358163	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/apply-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/apply-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:58	224218/224218	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/schedule-hero2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/schedule-hero2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:59	929/929	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/utils/bg-black-transparent.png	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/utils/bg-black-transparent.png	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
11:59:59	930/930	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/utils/bg-yellow-transparent.png	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/utils/bg-yellow-transparent.png	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:00	5972/5972	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/utils/bg-blue-transparent.png	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/utils/bg-blue-transparent.png	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:01	95/95	UR-MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/vendor/nuclide.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/vendor/nuclide.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
12:00:03	14661/14661	UR-MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:27%20GMT	http://devbootcamp.com/assets/js/main.js?v027	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/main27f2.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
12:00:04	1395519/1395519	URF---	200	added ('OK%20(cached)')	image/jpeg		http://devbootcamp.com/assets/images/lecture.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/images/lecture.jpg	(from http://devbootcamp.com/assets/css/app.css?v002)
12:00:04	108906/108906	URF---	200	added ('OK%20(cached)')	image/jpeg		http://devbootcamp.com/assets/img/hero/01-home-hero-slide.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/01-home-hero-slide.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:05	929/929	URF---	200	added ('OK%20(cached)')	image/png		http://devbootcamp.com/assets/img/utils/bg-black-transparent.png	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/utils/bg-black-transparent.png	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:06	930/930	URF---	200	added ('OK%20(cached)')	image/png		http://devbootcamp.com/assets/img/utils/bg-yellow-transparent.png	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/utils/bg-yellow-transparent.png	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:06	5972/5972	URF---	200	added ('OK%20(cached)')	image/png		http://devbootcamp.com/assets/img/utils/bg-blue-transparent.png	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/utils/bg-blue-transparent.png	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:08	129587/129587	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/CEE-hero-opt.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/CEE-hero-opt.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:08	244154/244154	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/05-home-hero-slide2x.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/05-home-hero-slide2x.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
12:00:24	470507/470507	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/hero/CEE-hero2x-opt.jpg	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/hero/CEE-hero2x-opt.jpg	(from http://devbootcamp.com/assets/css/nuclide.css?v002)
